text,label
"Government announces new healthcare scheme for rural areas.","real"
"Scientists discover a new species of butterfly in the Amazon rainforest.","real"
"Local university ranked among the top 10 institutions in the country.","real"
"Electric vehicle sales increased by 30% in the last quarter.","real"
"New study finds that drinking water improves memory power.","real"
"City to introduce AI-powered traffic management next month.","real"
"National sports team wins championship after 20 years.","real"
"Researchers develop a low-cost method to purify polluted water.","real"
"New smartphone model release leaks confirmed by tech company.","real"
"Weather department predicts heavy rainfall this weekend.","real"

"Government secretly replacing water supply with chemicals to control minds.","fake"
"Scientists claim the Earth will stop rotating next Monday.","fake"
"Celebrity spotted on Mars in recently leaked NASA photos.","fake"
"Drinking cold water turns blood into ice, doctors warn.","fake"
"New virus created in labs set to eliminate 50% of population.","fake"
"Phones will explode if you charge them after 9 PM, experts say.","fake"
"Aliens to visit Earth next week according to leaked space agency documents.","fake"
"Social media app confirmed to steal all your memories at night.","fake"
"Eating chocolate every morning makes you invisible.","fake"
"Robot dog escapes lab and forms its own government.","fake"
